"REF_DATE","GEO","DGUID","Base year","Dollar concept","Component","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","51020","","","","0"
"2016","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","50872","","","","0"
"2017","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","50490","","","","0"
"2018","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","50489","","","","0"
"2019","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","50739","","","","0"
"2020","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","50858","","","","0"
"2021","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","50720","","","","0"
"2022","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","51163","","","","0"
"2023","Ontario, population 100,000 to 499,999","","2018 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1206135944","27.3.1.1","51421","","","","0"
"2006","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","46743","","","","0"
"2007","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45516","","","","0"
"2008","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","44765","","","","0"
"2009","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45352","","","","0"
"2010","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","43636","","","","0"
"2011","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","44466","","","","0"
"2012","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","44542","","","","0"
"2013","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45067","","","","0"
"2014","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45324","","","","0"
"2015","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45979","","","","0"
"2016","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45583","","","","0"
"2017","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","44608","","","","0"
"2018","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","44453","","","","0"
"2019","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","45436","","","","0"
"2020","Ontario, population 100,000 to 499,999","","2008 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022008","27.1.1.1","46094","","","","0"
"2006","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","41837","","","","0"
"2007","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","40977","","","","0"
"2008","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","40988","","","","0"
"2009","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","41873","","","","0"
"2010","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","40905","","","","0"
"2011","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","41021","","","","0"
"2012","Ontario, population 100,000 to 499,999","","2000 base","2023 constant dollars","Total threshold","2023 constant dollars","449","units","0","v1043022623","27.2.1.1","41411","","","","0"


