Year,MSc,PhD,DomFees,IntFeesMSc,IntFeesPhD
1998,16000,16000,,,
1999,16750,16750,,,
2000,17000,17000,,,
2001,17500,17500,,,
2002,17750,17750,,,
2003,18250,18250,,,
2004,18500,18500,,,
2005,19000,19000,,,
2006,19500,19500,5159,,
2007,20000,20000,5159,,
2008,20360,20360,5572,,
2009,21000,21000,6017,,
2010,21350,21350,7261.02,,
2011,21650,21650,6358,,
2012,22200,22200,7312.97,,
2013,22650,22650,7322.93,,
2014,22650,22650,7483.49,,
2015,22650,22650,7508.76,,
2016,22650,22650,7540.82,14666.17,14666.17
2017,23895,23895,7599.26,14724.26,14724.26
2018,24300,24300,7610.92,14747.92,14747.92
2019,24300,24800,7108.34,14898.8,14898.8
2020,24300,24800,6980.23,14854.69,14854.69
2021,24300,24800,7013.32,14923.78,7769.32
2022,24300,25800,7185.77,15096.23,7941.77
2023,24300,26300,7255.79,15166.25,8011.79
